ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_9_TEXT,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q6,Q7_5,Q8,Q9,Q10,Q10_TEXT,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_9,Q11_10,Q11_8,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_10,Q15_10_TEXT,Q16,LocationLatitude,LocationLongitude,LocationAccuracy
R_4TQx4nAsxc3qVuV,Default Response Set,,2023-10-25 08:58:01,2023-10-25 09:00:40,,,,,1,0,1,,1,,,,1,1,,,,4,7,4,4,4,5,4,3,4,5,4,3,3,2,1,2,,,1,,1,,,,,,,2,,1,,1,,,,,,,,,,,-1
R_1BSjjbWFC1dSQs2,Default Response Set,,2023-10-25 09:35:36,2023-10-25 09:39:22,,,,,1,0,1,,1,,1,,1,1,,1,GV Now - daily email (I'm a staff member and alum),1,1,2,4,4,4,5,1,4,4,3,2,1,4,3,4,,,,,,,,,,,1,2,I haven't read much on the website since the email shifted to being only headers and links to the website. I personally liked it more when the email had some content so I could get a brief overview. I'm not going to click on each link so I can read two sentences about each item...,2,1,,,,1,,,,,,,,-1
R_1JVAmnDrtQeEHS3,Default Response Set,,2023-10-25 11:45:57,2023-10-25 11:53:25,,,,,1,0,1,1,1,1,1,,1,1,,,,3,6,4,4,4,5,5,5,5,5,5,3,NOT_APPLICABLE,2,1,8,,1,1,,,,1,,,,,1,,3,,,1,,,1,,,,1,,,-1
R_1rMmLmFJW3WbzAZ,Default Response Set,,2023-10-26 11:16:10,2023-10-26 11:20:15,,,,,1,0,1,,,,,,,1,,,,4,1,3,5,3,4,2,4,5,3,3,2,1,1,2,1,,,1,,,,,1,,,,2,"This is a great survey, allowed me to answer honestly without feeling pressured to answer a certain way.",1,,1,,,,,,,,,,,-1
R_1P8dxAIK41kTjxX,Default Response Set,,2023-10-26 12:25:01,2023-10-26 12:27:32,,,,,1,0,1,1,1,,,,,1,,,,3,6,4,4,4,3,4,5,4,3,4,3,5,2,3,3,,1,,1,1,,1,,,,,1,None at this time,4,1,,,,,,,,,1,,,-1
R_2bUGZwnz5IygTJG,Default Response Set,,2023-10-27 13:23:09,2023-10-27 13:29:50,,,,,1,0,1,,,,,1,1,,,,,4,1,3,3,4,3,3,3,4,3,3,2,0,1,1,1,,,,,,,,,,,1,2,,1,,,1,,,,,,,,,,-1
R_1kYnHPREQcEZ3YM,Default Response Set,,2023-10-27 14:26:33,2023-10-27 14:29:04,,,,,1,0,1,,1,1,1,1,,,,,,1,7,5,5,5,3,3,4,5,3,3,2,NOT_APPLICABLE,2,1,3,,,,,,,,,,,1,2,,4,,,,,1,,,,,,,,-1
R_3dLMZQG3wnverKb,Default Response Set,,2023-10-27 16:24:34,2023-10-27 16:26:05,,,,,1,0,1,1,1,,,,,,,,,3,6,3,2,2,4,5,5,5,5,5,3,3,2,3,2,,1,,,,,1,,,,,1,,2,1,,,,,,,,,1,,,-1
R_3NTZSYzGsa63jGi,Default Response Set,,2023-10-23 07:33:11,2023-10-23 07:37:00,,,,,0,0,1,,1,,,,,,,,,3,7,5,5,5,5,5,5,5,5,5,2,6,2,1,3,,1,1,,1,,,,,1,,1,,2,1,,1,,1,,,,,,,,-1
R_eVB7uuqD52UiAal,Default Response Set,,2023-10-23 07:34:49,2023-10-23 07:38:03,,,,,0,0,1,1,,,,,,,,,,2,6,3,3,3,3,3,5,4,5,5,2,0,1,1,5,,,,,,,,,,,1,1,,5,1,,,,,,,,,,,,-1
R_2qkNaOzAC0baIzS,Default Response Set,,2023-10-23 07:45:43,2023-10-23 07:47:44,,,,,0,0,1,1,,,,,1,,,,,2,2,3,3,3,3,3,5,5,5,5,2,0,5,2,5,,1,1,,,,,,,,,1,No,3,1,,,,,,,,,,,,-1
R_Bxnnmz5WfNEa4M1,Default Response Set,,2023-10-23 07:53:34,2023-10-23 07:55:44,,,,,0,0,1,1,1,,,,,,,,,3,2,3,3,3,3,3,3,3,3,3,2,4,4,3,1,,1,1,,,,,,,,,1,,2,1,,,,1,,,,,,,,-1
R_3HM2c0ylE6XhCP2,Default Response Set,,2023-10-23 07:54:39,2023-10-23 07:56:17,,,,,0,0,1,1,1,,,,,1,,,,2,2,3,3,3,3,3,4,4,4,4,3,5,3,2,3,,,,,,,,,,,1,1,,3,1,,,,,,,,,,,,-1
R_1GvvBxgk0UZ7RJv,Default Response Set,,2023-10-23 07:53:05,2023-10-23 08:00:39,,,,,0,0,1,1,1,,,1,,1,,1,Internal GVSU staff communications,2,6,2,4,3,3,3,5,4,4,4,2,2,2,2,7,"I'm not sure there is anything that you can do to make me more interested in the website. When so much media is digital these days, I really like having the print version arrive at my home for me to leaf through and get off a screen for once. Because I enjoy that experience I just don't feel as compelled to visit the virtual publication and would likely just not read any of it if it was only available digitally.",,1,,,1,,,,,,1,None at this time.,3,,,,,1,,1,,,,,,-1
R_9mqfl6npmUffiYV,Default Response Set,,2023-10-23 08:06:33,2023-10-23 08:08:19,,,,,0,0,1,1,,1,,,,,,,,3,6,5,4,2,5,5,5,5,5,5,3,4,4,3,1,,1,,1,1,,,1,,,,1,,3,1,,,,,,,,,,,,-1
R_3HtA42XuRd7OgmI,Default Response Set,,2023-10-23 08:06:37,2023-10-23 08:09:14,,,,,0,0,1,1,1,,1,,1,1,,,,2,7,3,3,5,5,5,5,5,5,5,2,5,2,1,3,,,1,,,,1,,,,,1,,2,1,,,,1,,,,,,,,-1
R_1LZ0DyFkVdyEaTk,Default Response Set,,2023-10-23 08:13:16,2023-10-23 08:16:40,,,,,0,0,1,1,1,1,1,,1,1,,,,3,6,5,4,4,5,5,5,5,5,5,3,NOT_APPLICABLE,2,2,2,,1,1,,1,,1,,1,,,1,,4,1,,,,,,,,,,,,-1
R_2VK054yEv94iMWr,Default Response Set,,2023-10-23 08:13:27,2023-10-23 08:17:37,,,,,0,0,1,,,1,,,,,1,,,3,7,3,5,5,4,4,5,5,5,4,2,3,2,1,1,,,,,,,,,,,1,1,I would like to see articles in some of the lesser known majors and departments.,4,,,,1,,,,,,,,,-1
R_1LSXlnq7sXMysWU,Default Response Set,,2023-10-23 08:18:32,2023-10-23 08:20:36,,,,,0,0,1,,1,,,,,,,,,1,1,1,3,1,3,3,3,3,3,3,3,0,2,1,4,,,,,,,,,,,1,1,,4,,,,1,,,,,,,,,-1
R_28ZFr1JSHsgzGl7,Default Response Set,,2023-10-23 08:21:30,2023-10-23 08:25:15,,,,,0,0,1,,1,,,,,1,,,,3,7,3,3,3,4,4,4,4,4,4,3,3,2,1,3,,,,,1,,1,,1,,,1,,3,1,,,,,,1,,,,,,-1
R_3MPECSe47u6R0ff,Default Response Set,,2023-10-23 08:23:07,2023-10-23 08:28:54,,,,,0,0,1,1,1,1,,1,,1,,,,3,6,4,4,4,4,4,5,4,4,5,3,NOT_APPLICABLE,4,1,3,,,,,,,,,,,1,1,,4,,,,,1,,,,,,,,-1
R_1mfoRbk6J7ByhWd,Default Response Set,,2023-10-23 08:36:52,2023-10-23 08:40:04,,,,,0,0,1,1,1,,,,,,,,,2,6,4,4,4,4,4,5,5,5,5,2,4,4,3,4,,,,,,,1,,,,,1,,5,1,,,,,,,,,,,,-1
R_2q8KKsJ5mO41b0s,Default Response Set,,2023-10-23 08:36:06,2023-10-23 08:41:29,,,,,0,0,1,,1,,,,,,,,,3,6,3,4,4,2,2,3,4,2,2,1,0,2,3,1,,,,,,,,,,,1,1,,2,1,,,,,,,,,,,,-1
R_1iqZAdyWMUQwbtN,Default Response Set,,2023-10-23 08:43:43,2023-10-23 08:45:39,,,,,0,0,1,1,1,,,,,,,,,2,7,3,4,4,3,3,4,4,4,3,2,2,4,3,1,,,1,,,,1,,,,,1,,2,1,,,,,,,,,,,,-1
R_2Vw0VzcaCmkWvoT,Default Response Set,,2023-10-23 08:43:40,2023-10-23 08:46:35,,,,,0,0,1,1,1,,,,,,,,,2,6,3,3,3,5,5,5,5,5,5,3,NOT_APPLICABLE,2,3,3,,,,1,,1,,1,,1,,1,,5,1,,,,,,,,,,,,-1
R_SPHpjovcdQrlSZr,Default Response Set,,2023-10-23 08:47:28,2023-10-23 08:50:26,,,,,0,0,1,1,1,1,,,,,,,,3,6,3,3,3,4,3,5,4,5,4,2,6,2,3,4,,,1,,,,,,,,,1,,5,1,,,,,,,,,,,,-1
R_bNlWpnb7dwAs717,Default Response Set,,2023-10-23 09:30:31,2023-10-23 09:32:55,,,,,0,0,1,,,,,,,1,,,,2,2,3,3,3,3,3,5,5,4,4,2,2,3,3,5,,,1,,,1,1,,,,,1,,3,1,,,,,,,,,,,,-1
R_2XjJKzjBsS9T9xy,Default Response Set,,2023-10-23 09:31:10,2023-10-23 09:46:55,,,,,0,0,1,1,1,,,,,,,,,3,2,3,3,3,3,3,4,5,4,4,2,2,2,3,4,,,1,,,,1,,,,,1,,2,1,,,1,,,,,,,,,-1
R_3sufWjsM9aeXUKY,Default Response Set,,2023-10-23 09:51:30,2023-10-23 09:56:42,,,,,0,0,1,,,,,,,,,1,By supervising GVSU interns,3,2,5,5,5,5,4,5,5,5,5,3,7,2,2,3,,,1,1,,,1,,,,,1,,3,1,,,,,,,,,,,,-1
R_exntAcJ1zk2TEQx,Default Response Set,,2023-10-23 09:55:41,2023-10-23 09:57:41,,,,,0,0,1,1,1,,,,,,,,,3,7,3,3,3,3,3,4,4,4,4,2,0,2,3,5,,,,1,,,1,,,,,1,,2,1,,,,,,,,,,,,-1
R_1CjZ9Ezr0oTulL5,Default Response Set,,2023-10-23 10:02:38,2023-10-23 10:06:58,,,,,0,0,1,1,1,,,1,,1,,,,3,6,4,4,4,4,5,5,5,5,5,2,NOT_APPLICABLE,2,3,3,,1,,,,,,,,,,1,Loyal to GVSU,5,1,,,,,,,,,,,,-1
R_1giiHdA9kTxb6ns,Default Response Set,,2023-10-23 10:27:01,2023-10-23 10:30:52,,,,,0,0,1,1,1,,1,,,,,,,2,6,3,4,4,3,4,5,5,5,5,3,5,4,3,3,,1,,,1,,,,,,,1,,5,1,,,,,,1,,,,,,-1
R_1Dp8fRlSE8BOi6e,Default Response Set,,2023-10-23 10:46:37,2023-10-23 10:48:57,,,,,0,0,1,1,1,1,,,,,,,,3,6,3,3,3,3,3,4,4,4,5,2,6,4,3,1,,,1,,,,,,,,,1,,4,1,,,,,,,,,,,,-1
R_1oAPwIgXyCWKhL0,Default Response Set,,2023-10-23 11:14:33,2023-10-23 11:18:37,,,,,0,0,1,1,1,,,,,,,,,2,6,3,3,3,3,3,5,5,5,5,3,0,2,2,5,,1,1,,1,,,,,,,1,,2,1,,,,,,,,,,,,-1
R_1DvSBxdCz6LGQEw,Default Response Set,,2023-10-23 11:33:22,2023-10-23 11:36:26,,,,,0,0,1,,1,,,,,,,,,3,2,5,4,5,5,5,4,4,3,5,3,NOT_APPLICABLE,2,3,1,,,1,,1,,1,,,1,,1,,4,,,,1,,,,,,,,,-1
R_pS0LNmHh85v1Zbr,Default Response Set,,2023-10-23 11:55:31,2023-10-23 11:58:44,,,,,0,0,1,,1,,,,,1,,,,2,2,1,3,3,2,4,5,4,4,3,3,1,3,2,5,,,1,,1,,,,1,,,1,No,5,1,,,,,,,1,Retiree,,,,-1
R_3fxz2uJ0PYoqPkn,Default Response Set,,2023-10-23 11:52:40,2023-10-23 11:59:12,,,,,0,0,1,1,1,,,,,,,,,2,2,4,5,3,3,5,5,3,4,5,3,1,4,3,4,,,,,,,,,,,1,1,,5,1,,,,,,,,,,,,-1
R_2t8VSyICxmTPvt2,Default Response Set,,2023-10-23 12:12:10,2023-10-23 12:14:23,,,,,0,0,1,1,,,,,,,,,,2,2,2,3,3,3,3,5,4,4,4,2,0,3,2,5,,1,,,,,,,1,,,1,,3,1,,,,,,,,,,,,-1
R_2CDhlwBERicaz1m,Default Response Set,,2023-10-23 12:26:44,2023-10-23 12:29:12,,,,,0,0,1,,1,,,,,,,,,1,1,2,3,3,4,5,3,3,3,3,3,4,2,1,5,,1,1,,,,,1,,1,,1,Most of my reading of the magazine is through emailed links. I typically do not browse the website or visit it for reading. I would prefer a printed copy but don't believe I am getting them mailed.,2,,,1,,,,,,,,,,-1
R_1DOVyDfvfVdfDci,Default Response Set,,2023-10-23 12:29:51,2023-10-23 12:31:51,,,,,0,0,1,,1,,,,,,,,,1,6,5,5,5,5,5,5,5,5,5,2,8,2,1,4,,1,1,1,,,1,,,1,,1,,4,,,,1,,,,,,,,,-1
R_2R347FMMlCpyodc,Default Response Set,,2023-10-23 12:37:04,2023-10-23 12:40:20,,,,,0,0,1,1,,1,,1,1,1,,,,2,6,3,3,3,3,4,5,5,5,5,2,5,1,3,4,,,1,1,1,,,1,1,,,1,,4,1,,,,,,,,,,,,-1
R_ehe7f9gHC3rQBGh,Default Response Set,,2023-10-23 07:50:52,2023-10-23 12:48:17,,,,,0,0,1,1,,,,1,,,,,,2,6,3,3,3,3,3,5,5,5,5,3,1,3,2,4,,,,,,,,,,,1,1,,3,1,,,,,,,,,,,,-1
R_2aRfPjuGMhLfU5R,Default Response Set,,2023-10-23 12:47:29,2023-10-23 12:49:34,,,,,0,0,1,1,1,1,,,,1,,,,3,6,4,4,3,3,4,4,4,4,4,2,6,4,1,4,,,,,,,,,,,1,1,,3,1,,,,,,,,,,,,-1
R_2V9Js5XC8Ft0rXI,Default Response Set,,2023-10-23 13:02:27,2023-10-23 13:06:54,,,,,0,0,1,1,1,,,,,,,,,2,2,3,3,3,3,3,4,4,4,4,3,NOT_APPLICABLE,2,2,5,,,,,1,1,,,,,,1,,5,,,,,,,1,1,"Parent of grad, past mentor",,,,-1
R_2V3m4tF7XBa1dXL,Default Response Set,,2023-10-23 13:07:05,2023-10-23 13:10:59,,,,,0,0,1,1,1,,,,1,1,,,,2,6,3,3,3,3,3,5,5,5,5,3,0,2,3,4,,1,1,1,1,,,,,1,,1,,4,1,,,,,,,,,,,,-1
R_2zdn881FuFrRODu,Default Response Set,,2023-10-23 14:05:25,2023-10-23 14:09:34,,,,,0,0,1,1,1,,,,,,1,,,3,2,5,5,5,5,3,5,5,5,5,3,7,4,3,1,,1,1,,,,,,,1,,1,I love when important dates are recapped. Helps me keep track.,5,,,,1,,,,,,,,,-1
R_2UgWlb1F8PifVRg,Default Response Set,,2023-10-23 14:24:09,2023-10-23 14:26:41,,,,,0,0,1,1,1,,,,,,,,,1,7,3,3,3,3,3,5,4,5,4,2,4,4,3,4,,1,1,,,,,,,,,1,,5,1,,,,,,,,,,,,-1
R_0UtI52nsXU7HQo9,Default Response Set,,2023-10-23 14:46:27,2023-10-23 14:51:29,,,,,0,0,1,1,1,,,,,,,,,2,2,3,3,3,3,3,5,4,4,5,2,0,4,3,4,,,1,,,,,,,,,1,,5,1,,,,,,1,,,,,,-1
R_2EbFPdbZ8tUxaVQ,Default Response Set,,2023-10-23 14:58:33,2023-10-23 15:01:01,,,,,0,0,1,1,,,,,,,,,,2,6,3,3,3,3,3,5,5,4,4,2,0,4,3,5,,,,,,,,,,,1,1,,5,,,,,,,,1,,,,,-1
R_1CpiNhKvgo4473R,Default Response Set,,2023-10-23 15:07:52,2023-10-23 15:14:07,,,,,0,0,1,1,1,,,,,,,,,2,6,3,3,3,3,3,1,1,1,1,2,0,4,3,4,,,,1,,1,,,,,,1,,5,1,1,,,,,1,,,,,,-1
R_8l9LuRPYKYAwNLr,Default Response Set,,2023-10-23 15:39:29,2023-10-23 15:43:46,,,,,0,0,1,1,1,,,,,,,,,2,2,3,3,3,3,3,4,4,4,4,2,0,1,3,5,,,,,,,,,,,1,1,No,5,1,,,,,,,,,,,,-1
R_1CjrwaSx7B8Dxrw,Default Response Set,,2023-10-23 17:37:04,2023-10-23 17:39:46,,,,,0,0,1,1,1,,,,1,,,,,2,2,3,3,3,3,3,5,4,5,5,2,1,3,1,5,,,1,1,1,1,,,,,,1,,4,1,,,,,,,,,,,,-1
R_2zomOxlw10sXnRE,Default Response Set,,2023-10-23 19:11:20,2023-10-23 19:18:34,,,,,0,0,1,,1,1,,,,,,,,1,7,4,4,4,4,4,4,4,4,4,3,4,2,1,4,,,1,,1,,1,1,,,,1,,3,1,,,,,,,,,,,,-1
R_2RQUBaGKdzhl7P6,Default Response Set,,2023-10-23 19:20:18,2023-10-23 19:26:33,,,,,0,0,1,1,1,1,,,,,,,,2,2,5,3,4,5,5,5,5,5,5,2,5,2,2,5,,1,1,,,,1,,,,,1,no,5,1,,,,,,,,,,,,-1
R_SCPl1ORcr6qv2IF,Default Response Set,,2023-10-23 19:58:52,2023-10-23 20:01:51,,,,,0,0,1,1,,1,,1,,1,,,,3,6,4,5,5,5,5,5,5,5,5,3,4,2,3,2,,,1,,,1,,,,,,1,No,5,1,,,,,,,,,,,,-1
R_25HGgyoqvXNYVVv,Default Response Set,,2023-10-31 08:18:06,2023-10-31 08:20:55,,,,,1,0,1,1,1,,,,,1,,,,2,2,3,3,3,3,3,4,4,4,4,3,0,3,3,4,,,1,,1,,,1,1,1,,1,,2,1,,,,,,,,,1,,,-1
R_1kMKfOoUnMfGCKb,Default Response Set,,2023-10-31 08:59:07,2023-10-31 09:00:50,,,,,1,0,1,1,,1,,,,,1,,,3,6,5,5,5,5,5,5,5,5,5,3,5,3,1,3,,,1,1,1,,1,,,,,1,,1,1,,,,,,,,,1,,,-1
R_2YnXDpQVp7UpkT6,Default Response Set,,2023-10-24 13:44:49,2023-10-24 13:47:56,,,,,0,0,1,1,1,1,1,,,,,,,3,6,3,3,3,4,4,5,5,5,5,3,6,4,3,1,,1,,1,1,1,1,,,,,1,,3,1,,,1,,,1,,,,,,-1
R_w1zB5cYt2mDqrtL,Default Response Set,,2023-10-31 14:36:10,2023-10-31 14:39:33,,,,,1,0,1,1,1,,,,,1,,,,2,6,3,3,3,3,3,5,5,4,4,3,0,4,2,5,,,1,1,1,,,,1,,,1,,2,1,,,,,,,,,1,,,-1
R_2xJHk83FnFBnEkV,Default Response Set,,2023-10-24 16:36:15,2023-10-24 16:39:42,,,,,0,0,1,1,1,,1,1,,,,,,3,6,3,3,3,3,3,5,5,5,5,2,8,2,3,4,,,1,,,1,,,,,,1,,5,1,,,,,,1,,,,,,-1
R_1Ypr6WILlU5fvqx,Default Response Set,,2023-10-24 19:15:01,2023-10-24 19:17:28,,,,,0,0,1,1,1,1,1,,1,1,,,,3,6,4,4,4,5,5,5,4,5,5,3,6,3,1,4,,1,1,,1,,,1,1,,,1,,3,1,,,,,,,,,,,,-1
R_2ZEMt1vob9KIOUq,Default Response Set,,2023-10-25 03:32:56,2023-10-25 03:37:18,,,,,0,0,1,,,,,,,1,,,,1,2,4,5,4,5,3,5,4,5,5,3,NOT_APPLICABLE,4,2,7,Social media links to articles,1,1,,,,1,,,1,,1,,3,,,,1,,,,,,,,,-1
R_3jfJkpZ2SoCcJ77,Default Response Set,,2023-10-25 08:01:07,2023-10-25 08:11:18,,,,,0,0,1,,1,,,,,,,,,3,6,4,4,5,5,4,4,4,5,5,3,7,2,1,3,,1,1,,1,,,,,1,,1,,2,1,,,,,,,,,,,,-1
R_3GuGpGBZ3cElvca,Default Response Set,,2023-10-25 11:32:12,2023-10-25 11:34:26,,,,,0,0,1,1,1,,,,,,,,,3,6,4,4,4,4,4,3,4,4,4,3,6,3,3,4,,1,1,,,,,,,1,,1,,4,,,,1,,,,,,,,,-1
R_1Nqv1IUuIZxdYh8,Default Response Set,,2023-10-25 12:43:57,2023-10-25 12:53:44,,,,,0,0,1,1,1,,,,1,,,,,2,6,3,3,3,3,3,5,5,5,5,3,0,2,3,5,,1,,1,1,,,1,,,,1,,5,1,,,,,,1,,,,,,-1
R_3qCDZHYLSK8n4Ho,Default Response Set,,2023-11-02 12:40:15,2023-11-02 12:42:31,,,,,1,0,1,,1,,,,,,,,,4,2,1,1,1,1,1,2,4,2,3,2,0,5,2,5,,,,,,,,,,,1,1,,3,1,,,,1,,,,,1,,,-1
R_2w6puJZnfF3Sq2T,Default Response Set,,2023-11-02 12:39:04,2023-11-02 12:43:10,,,,,1,0,1,,,,,,,,,1,In Seidman College we work with a complete lack of info sharing.,4,1,1,3,1,1,1,3,3,3,3,1,NOT_APPLICABLE,3,3,7,Make it more inclusive.,,,,,,,,,,1,2,Stop wasting precious environmental resources to print these vanity projects.,2,,,,,,,,1,Marginalized stakeholder at Seidman,,,,-1
R_2TZAveqoF75UtNT,Default Response Set,,2023-11-02 12:39:47,2023-11-02 12:43:16,,,,,1,0,1,1,,,,1,,,,,,2,6,3,3,3,3,3,4,4,4,4,2,0,1,3,4,,,1,,,,,,,,,1,,5,,,,1,,,,,,1,,,-1
R_1GKrew1kDpRapld,Default Response Set,,2023-11-02 12:42:11,2023-11-02 12:44:37,,,,,1,0,1,,1,,,,,,,,,4,1,3,3,3,3,3,3,3,4,4,2,0,3,1,4,,,,,,,,1,,,,2,"I do think the magazine is great, but I never signed up for it and continue to get it. I don't mind it at all, but truly it usually goes right into the recycling bin.",3,1,,,,,,,,,,,,-1
R_31T4b5468Hq3apA,Default Response Set,,2023-11-02 12:41:03,2023-11-02 12:44:56,,,,,1,0,1,1,1,,,,,,,1,GVUF,3,6,5,4,5,5,5,3,3,3,5,2,7,2,1,3,,1,1,,1,,1,,,1,,2,,5,,,,,,,1,1,"Director, GVUF + Family Connection",,,,-1
R_O38XeFnpyJAvwT7,Default Response Set,,2023-11-02 12:42:57,2023-11-02 12:45:12,,,,,1,0,1,,1,,,,,,,1,At the office,1,6,5,5,5,5,5,5,5,5,5,3,NOT_APPLICABLE,2,1,1,,,1,,1,,1,,,,,2,,3,1,,,,1,,,,,,,,-1
R_oZCySdAyGBXEdJn,Default Response Set,,2023-11-02 12:42:32,2023-11-02 12:45:28,,,,,1,0,1,,,,,,,1,,,,2,2,4,3,4,4,5,5,5,5,5,2,3,2,3,4,,1,1,,,,1,,,,,1,,4,1,,,,,,,1,Former employee,1,,,-1
R_12lK8AOfBc6zVMi,Default Response Set,,2023-11-02 12:42:36,2023-11-02 12:45:29,,,,,1,0,1,1,,,,,,1,,,,2,6,3,3,3,3,3,5,5,5,5,1,0,3,1,5,,,1,1,,,,,,,,2,,4,1,,,,,,,,,,,,-1
R_ZeOriUPwGSfffoZ,Default Response Set,,2023-11-02 12:44:16,2023-11-02 12:45:57,,,,,1,0,1,,,,,,,1,,,,4,1,3,3,4,3,3,1,5,4,3,2,0,3,2,5,,,,,,,,,,,1,2,,2,1,,,,,,,,,,,,-1
R_xuCZ6tSRp6bQjO9,Default Response Set,,2023-11-02 12:42:23,2023-11-02 12:46:13,,,,,1,0,1,,1,,,,,,,,,4,1,1,3,3,3,1,1,1,1,1,1,1,2,2,7,"I don't really care about other alumni, and won't read other alumni stories, unless I personally know them. Same with student stuff. If it doesn't personally affect me, I have so much else taking up time in my life and competing for my attention, I'm really not interested. What's in it for me? Why do I care? And don't say b/c I'm an alumni, b/c that's just not true. I don't just care b/c I'm an alumni. You need something to draw me in.",,,,,,,,,,1,2,"Printed magazines are so 1990. Stop wasting money on magazines no one reads, and then turn around and ask alumni for money. I'd rather see your alumni department come up with ways that alumni actually want to engage, rather than spend money on old forms of communication.",3,1,,,,,,,,,,,,-1
R_1GKzzRrCReNaxLh,Default Response Set,,2023-11-02 12:44:03,2023-11-02 12:46:37,,,,,1,0,1,1,1,,,,,1,,,,2,7,3,3,3,3,3,4,3,3,3,2,1,3,3,5,,,,,,,,,,,1,2,,4,1,,,,,,,,,,,,-1
R_2rpfhK7Yk2TrE3i,Default Response Set,,2023-11-02 12:43:14,2023-11-02 12:46:40,,,,,1,0,1,1,,,,,,,,,,2,7,3,3,3,3,3,4,4,2,3,1,0,4,3,4,,,,,,,,,,,1,2,GVSU is not the same college of old,4,1,,,,,,,,,,,,-1
R_20Nb4CgDsF75fqE,Default Response Set,,2023-11-02 12:44:37,2023-11-02 12:47:04,,,,,1,0,1,,1,,1,1,,,,,,3,2,3,3,3,4,4,2,4,4,5,3,6,2,1,4,,,1,,,,,,1,,,2,,4,,,1,,,,,,,,,,-1
R_yUWZ7IyPa9lmI9z,Default Response Set,,2023-11-02 12:45:20,2023-11-02 12:48:00,,,,,1,0,1,1,,,,,,,,,,2,6,2,3,3,2,3,5,5,5,5,2,NOT_APPLICABLE,4,2,4,,1,1,,1,,1,,,,,1,,4,1,,,,,,,,,1,,,-1
R_1FLZTQRhcVINHHC,Default Response Set,,2023-11-02 12:43:44,2023-11-02 12:48:08,,,,,1,0,1,,1,1,,,,,,,,4,7,3,3,4,4,3,3,4,4,3,3,2,2,1,8,,,,,1,,1,,,,1,1,,2,1,,,,,,,,,1,,,-1
R_3iULscEHQTJQsF1,Default Response Set,,2023-11-02 12:43:52,2023-11-02 12:49:19,,,,,1,0,1,,,,,1,,,,,,2,7,5,5,5,5,5,5,5,5,5,3,0,2,3,1,,,,1,,,,,,,,2,,4,1,,,1,,,,,,,,,-1
R_1P8kPAYQKOlYOQM,Default Response Set,,2023-11-02 12:47:06,2023-11-02 12:49:30,,,,,1,0,1,1,1,,,,1,1,,,,2,6,3,3,3,4,4,4,4,4,4,2,1,2,3,5,,,1,1,,,,,,,,1,It would be interesting to hear more about what is new and upcoming in every issue. I like to see how GV is growing and reinvesting.,2,1,,,,,,,,,1,,,-1
R_xmUMRCaq5OAuunD,Default Response Set,,2023-11-02 12:48:16,2023-11-02 12:49:31,,,,,1,0,1,,1,,,,,,,,,3,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,,,1,,,,,,,,,1,,2,1,,,,,,,,,1,,,-1
R_O8BwkWHcxe2JpZv,Default Response Set,,2023-11-02 12:47:56,2023-11-02 12:49:56,,,,,1,0,1,1,1,,,,,1,,,,2,6,3,3,3,3,3,5,5,5,5,3,0,2,3,5,,,1,,1,1,,,,,,1,,3,1,,,,,,,,,1,,,-1
R_BsrAScH7uTLa4b7,Default Response Set,,2023-11-02 12:48:15,2023-11-02 12:50:28,,,,,1,0,1,1,1,,,,,,,1,www.gvsu.edu,2,6,3,3,3,5,3,5,5,5,5,3,0,2,3,4,,,1,1,,1,,,,,,1,,3,,,,1,1,,,,,1,,,-1
R_3lRCJWT71kodE2e,Default Response Set,,2023-11-02 12:47:08,2023-11-02 12:52:22,,,,,1,0,1,1,1,,1,,1,,,1,Faculty communications,2,2,3,3,5,4,5,5,5,5,5,3,5,2,1,2,,,1,1,1,,,,,1,,2,,4,,,,,1,,,,,,,,-1
R_2TzAQ9TX6CZiaer,Default Response Set,,2023-11-02 12:50:26,2023-11-02 12:52:50,,,,,1,0,1,1,,,,,,1,,,,2,6,4,5,5,4,4,4,5,5,4,2,1,3,2,1,,,1,,,,,,,,,1,,2,1,,,,,,,,,1,,,-1
R_1l5b9J8SoCnXd2a,Default Response Set,,2023-11-02 12:50:37,2023-11-02 12:53:09,,,,,1,0,1,,1,,,,,,,,,2,6,3,3,3,3,3,4,4,3,3,2,0,2,1,8,,,,,,,,,,,1,2,,2,1,,,,,,,,,,,,-1
R_2n9C8kEqmKdiAox,Default Response Set,,2023-11-02 12:51:06,2023-11-02 12:53:34,,,,,1,0,1,,1,,,,,,,,,4,1,3,3,3,3,3,2,2,2,2,2,0,2,3,8,,,,,,,,,,,1,2,,2,,,1,,,,,,,,,,-1
